title,description,text,date,language,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent,tokens
Analysis: Donald Trump is getting richer again,"More than 14 months after leaving office -- and while still contesting the 2020 election -- former President Donald Trump has seen his net worth soar to $3 billion, according to brand new numbers from Forbes.","THE POINT -- NOW ON YOUTUBE! 
In each episode of his weekly YouTube show, Chris Cillizza will delve a little deeper into the surreal world of politics. Click to subscribe!",2022-04-05,en,0.5267,0.362,0.638,0.0,1,0.0,0.0,1.0,0.0,0,"['POINT', '--', 'YOUTUBE', 'episode', 'weekly', 'YouTube', 'Chris', 'Cillizza', 'delve', 'deeper', 'surreal', 'world', 'politics', 'Click', 'subscribe']"
Jimmy Kimmel Mocks Donald Trump’s Endorsement of Sarah Palin,"“Trump endorsing Palin is like paste eating endorsing glue sniffing,” Kimmel joked.","I guess the Masked Singer money dried up and Sarah is running for office. JIMMY KIMMEL
Trump endorsing Palin is like paste eating endorsing glue sniffing. Its ridiculous. JIMMY KIMMEL
I saw that Sa… [+786 chars]",2022-04-05,en,-0.1779,0.187,0.569,0.244,-1,0.0,0.068,0.865,0.068,0,"['guess', 'Masked', 'Singer', 'money', 'dried', 'Sarah', 'running', 'office', 'JIMMY', 'KIMMEL', 'Trump', 'endorsing', 'Palin', 'paste', 'eating', 'endorsing', 'glue', 'sniffing', 'ridiculous', 'JIMMY', 'KIMMEL', 'Sa…', '+786', 'char']"
NY attorney general seeks to hold Donald Trump in contempt of court,New York's top lawyer says Donald Trump has not submitted files to a Trump Organization probe.,"Image source, Getty Images
New York's top lawyer has asked a state judge to hold Donald Trump in contempt of court, for allegedly failing to turn over files for an investigation into his business pr… [+1900 chars]",2022-04-07,en,-0.5859,0.0,0.743,0.257,-1,-0.743,0.043,0.788,0.169,-1,"['Image', 'source', 'Getty', 'Images', 'York', ""'s"", 'lawyer', 'asked', 'state', 'judge', 'hold', 'Donald', 'Trump', 'contempt', 'court', 'allegedly', 'failing', 'turn', 'file', 'investigation', 'business', 'pr…', '+1900', 'char']"
U.S. Sends Algerian Man Home From Guantánamo Bay After 5-Year Delay,The transfer had been arranged during the Obama administration but was put on pause under President Donald J. Trump.,"Mr. Barhoumis lawyer, Shayana Kadidal of the Center for Constitutional Rights, described the prisoner as one of Guantánamos most cooperative captives, a man who helped calm tensions between unruly or… [+1027 chars]",2022-04-02,en,-0.3182,0.0,0.813,0.187,-1,-0.5994,0.063,0.767,0.17,-1,"['Mr.', 'Barhoumis', 'lawyer', 'Shayana', 'Kadidal', 'Center', 'Constitutional', 'Rights', 'prisoner', 'Guantánamos', 'cooperative', 'captive', 'man', 'helped', 'calm', 'tension', 'unruly', 'or…', '+1027', 'char']"
Donald Trump sues Hillary Clinton over Russian collusion allegations,Donald Trump's campaign was accused of conspiring with Russian agents to influence the 2016 election.,"Image caption, Donald Trump beat Hillary Clinton in the 2016 presidential election
Former US President Donald Trump has sued Hillary Clinton and several other Democrats, accusing them of trying to r… [+3249 chars]",2022-03-24,en,0.0,0.0,1.0,0.0,0,-0.1779,0.0,0.95,0.05,-1,"['Image', 'caption', 'Donald', 'Trump', 'beat', 'Hillary', 'Clinton', '2016', 'presidential', 'election', 'President', 'Donald', 'Trump', 'sued', 'Hillary', 'Clinton', 'Democrats', 'accusing', 'r…', '+3249', 'char']"
"Fred Upton, House Republican Who Supported Impeachment, Will Retire",Mr. Upton is the fourth House Republican who voted to impeach former President Donald Trump to decline to run for re-election.,"Representative Fred Upton, a Michigan Republican who has served in the House for more than three decades, announced his retirement on Tuesday, becoming the fourth House Republican who voted to impeac… [+785 chars]",2022-04-05,en,0.3182,0.223,0.777,0.0,1,0.0,0.0,1.0,0.0,0,"['Representative', 'Fred', 'Upton', 'Michigan', 'Republican', 'served', 'House', 'decade', 'announced', 'retirement', 'Tuesday', 'becoming', 'fourth', 'House', 'Republican', 'voted', 'impeac…', '+785', 'char']"
N.Y. Attorney General Seeks to Hold Trump in Contempt,"The attorney general, Letitia James, has been conducting a civil investigation into former President Donald J. Trump’s family business.","The New York State attorney general, Letitia James, filed a motion on Thursday asking a judge to hold Donald J. Trump in contempt for failing to turn over documents in her civil investigation into hi… [+672 chars]",2022-04-07,en,-0.5859,0.0,0.678,0.322,-1,-0.7964,0.0,0.823,0.177,-1,"['York', 'State', 'attorney', 'general', 'Letitia', 'James', 'filed', 'motion', 'Thursday', 'judge', 'hold', 'Donald', 'J.', 'Trump', 'contempt', 'failing', 'turn', 'document', 'civil', 'investigation', 'hi…', '+672', 'char']"
Ohio Republicans Scramble as Trump Endorsement Hangs Over Senate Race,"The news that Donald Trump might soon endorse J.D. Vance, the author and venture capitalist, prompted some Republican leaders in Ohio to try to prevent the move.","Mr. Johnson helped circulate a letter, signed by more than three dozen Republican county and state committee leaders, that was addressed to Mr. Trump and called on him to block the endorsement. It st… [+2251 chars]",2022-04-15,en,0.3182,0.204,0.796,0.0,1,-0.1531,0.06,0.864,0.076,-1,"['Mr.', 'Johnson', 'helped', 'circulate', 'letter', 'signed', 'dozen', 'Republican', 'county', 'state', 'committee', 'leader', 'addressed', 'Mr.', 'Trump', 'called', 'block', 'endorsement', 'st…', '+2251', 'char']"
Text From Donald Trump Jr. Set Out Strategies to Fight Election Outcome,"In a message two days after Election Day 2020, the president’s son conveyed a range of ideas for keeping his father in office.","In a statement, the younger Mr. Trumps lawyer, Alan Futerfas, confirmed that the text message was sent but suggested it was someone elses idea that Donald Trump Jr. was passing along.
After the elec… [+1014 chars]",2022-04-08,en,-0.3818,0.0,0.809,0.191,-1,0.0,0.0,1.0,0.0,0,"['statement', 'younger', 'Mr.', 'Trumps', 'lawyer', 'Alan', 'Futerfas', 'confirmed', 'text', 'message', 'suggested', 'someone', 'el', 'idea', 'Donald', 'Trump', 'Jr.', 'passing', 'elec…', '+1014', 'char']"
‘The Illegality of the Plan Was Obvious’,A judge has ruled that Donald J. Trump most likely committed a crime in trying to stop the certification of the 2020 election.,"Luke Broadwater contributed reporting.
The Daily is made by Lisa Tobin, Rachel Quester, Lynsea Garrison, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad Fisher, Larissa Anderson, Chri… [+750 chars]",2022-04-04,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0,"['Luke', 'Broadwater', 'contributed', 'reporting', 'Daily', 'Lisa', 'Tobin', 'Rachel', 'Quester', 'Lynsea', 'Garrison', 'Clare', 'Toeniskoetter', 'Paige', 'Cowett', 'Michael', 'Simon', 'Johnson', 'Brad', 'Fisher', 'Larissa', 'Anderson', 'Chri…', '+750', 'char']"
"‘S.N.L.’ Offers Easter Wishes From Elon Musk, Donald Trump and More","The host and musical guest was Lizzo, probably the first “Saturday Night Live” guest to get audiences cheering for a flute solo.","Yang was followed by Kate McKinnon, in her recurring role as Dr. Anthony S. Fauci. Trust me, Im not here to give you any more Covid guidance, McKinnon said. Im not stupid enough to think youre actual… [+1135 chars]",2022-04-17,en,0.1531,0.138,0.862,0.0,1,0.7249,0.141,0.859,0.0,1,"['Yang', 'Kate', 'McKinnon', 'recurring', 'role', 'Dr.', 'Anthony', 'S.', 'Fauci', 'Trust', 'Covid', 'guidance', 'McKinnon', 'stupid', 'actual…', '+1135', 'char']"
Jan. 6 Panel Argues for Contempt Charges for Former Trump Aides,The House committee investigating the Capitol riot issued a report on Peter Navarro and Dan Scavino Jr.’s roles in efforts to overturn Donald Trump’s election loss.,"In a statement emailed Sunday night, Mr. Navarro said: My position remains this is not my executive privilege to waive and the committee should negotiate this matter with President Trump. If he waive… [+1835 chars]",2022-03-28,en,-0.8176,0.0,0.452,0.548,-1,-0.2465,0.032,0.908,0.06,-1,"['statement', 'emailed', 'Sunday', 'night', 'Mr.', 'Navarro', 'position', 'remains', 'executive', 'privilege', 'waive', 'committee', 'negotiate', 'matter', 'President', 'Trump', 'waive…', '+1835', 'char']"
Jan. 6 Panel Argues for Contempt Charges for Former Trump Aides,The House committee investigating the Capitol riot issued a report on Peter Navarro and Dan Scavino Jr.’s roles in efforts to overturn Donald Trump’s election loss.,"In a statement emailed Sunday night, Mr. Navarro said: My position remains this is not my executive privilege to waive and the committee should negotiate this matter with President Trump. If he waive… [+1835 chars]",2022-03-28,en,-0.8176,0.0,0.452,0.548,-1,-0.2465,0.032,0.908,0.06,-1,"['statement', 'emailed', 'Sunday', 'night', 'Mr.', 'Navarro', 'position', 'remains', 'executive', 'privilege', 'waive', 'committee', 'negotiate', 'matter', 'President', 'Trump', 'waive…', '+1835', 'char']"
Sarah Palin's House candidacy causes GOP rift and reopens old wounds,"Despite her 13 years out of office, Sarah Palin immediately won an endorsement from former President Donald Trump in her campaign to represent Alaska in the US House.","(CNN)Despite her 13 years out of office, Sarah Palin immediately won an endorsement from former President Donald Trump in her campaign to represent Alaska in the US House. 
GOP hard-liners already p… [+8537 chars]",2022-04-06,en,0.0,0.0,1.0,0.0,0,0.7184,0.158,0.842,0.0,1,"['CNN', '13', 'year', 'office', 'Sarah', 'Palin', 'endorsement', 'President', 'Donald', 'Trump', 'campaign', 'represent', 'Alaska', 'House', 'GOP', 'hard-liners', 'p…', '+8537', 'char']"
Texts Show Ginni Thomas’s Embrace of Conspiracy Theories,"In the aftermath of the 2020 presidential election, the wife of Justice Clarence Thomas was involved in a range of efforts to keep President Donald J. Trump in power.","In one of her texts, the contents of which were earlier reported by The Washington Post and CBS News, Ms. Thomas sent Mr. Meadows a link to a video featuring Steve Pieczenik, a former State Departmen… [+2986 chars]",2022-03-26,en,-0.2732,0.197,0.513,0.291,-1,0.0,0.0,1.0,0.0,0,"['text', 'content', 'earlier', 'reported', 'Washington', 'Post', 'CBS', 'News', 'Ms.', 'Thomas', 'Mr.', 'Meadows', 'link', 'video', 'featuring', 'Steve', 'Pieczenik', 'State', 'Departmen…', '+2986', 'char']"
Trump endorses JD Vance in Ohio Republican Senate primary,"Former President Donald Trump on Friday endorsed Senate candidate J.D. Vance in the Republican primary in Ohio, writing that Vance is ""the candidate most qualified and ready to win.""","(CNN)Former President Donald Trump on Friday endorsed Senate candidate J.D. Vance in the Republican primary in Ohio, writing that Vance is ""the candidate most qualified and ready to win.""
Rumors of … [+842 chars]",2022-04-15,en,0.34,0.231,0.769,0.0,1,0.5809,0.133,0.867,0.0,1,"['CNN', 'President', 'Donald', 'Trump', 'Friday', 'endorsed', 'Senate', 'candidate', 'J.D', 'Vance', 'Republican', 'primary', 'Ohio', 'writing', 'Vance', '``', 'candidate', 'qualified', 'ready', 'win', ""''"", 'Rumors', '…', '+842', 'char']"
Jan. 6 Panel Presses Stephen Miller on Whether Trump Sought to Incite Crowd,"In about eight hours of questioning, investigators pressed the former White House aide on former President Donald J. Trump’s use of “we” in his speech to supporters before the riot.","The House committee investigating the Jan. 6 attack on the Capitol spent roughly eight hours on Thursday questioning Stephen Miller, a top White House adviser to former President Donald J. Trump, in … [+1485 chars]",2022-04-15,en,0.0,0.0,1.0,0.0,0,-0.4019,0.051,0.822,0.127,-1,"['House', 'committee', 'investigating', 'Jan.', '6', 'attack', 'Capitol', 'spent', 'roughly', 'hour', 'Thursday', 'questioning', 'Stephen', 'Miller', 'White', 'House', 'adviser', 'President', 'Donald', 'J.', 'Trump', '…', '+1485', 'char']"
Donald Trump's 6 January call logs show seven-hour gap,The committee investigating the Capitol riots had sought to obtain the presidential records.,"By Anthony ZurcherNorth America reporter
Image source, Getty Images
Official White House logs from 6 January, 2021 - the day the US Capitol was breached by a mob of Donald Trump's supporters - show… [+2098 chars]",2022-03-29,en,0.0,0.0,1.0,0.0,0,0.4404,0.086,0.914,0.0,1,"['Anthony', 'ZurcherNorth', 'America', 'reporter', 'Image', 'source', 'Getty', 'Images', 'Official', 'White', 'House', 'log', '6', 'January', '2021', 'day', 'Capitol', 'breached', 'mob', 'Donald', 'Trump', ""'s"", 'supporter', 'show…', '+2098', 'char']"
Jackson Vote Poses a Political Dilemma for Murkowski,The Alaska Republican is facing a difficult re-election race in which she is under attack by former President Donald J. Trump and the right. Could a vote for President Biden’s nominee save her?,"That has been a winning formula for her in past races, and Ms. Murkowskis allies argue that it is her likeliest path to re-election.
Theres no right to shore up, said Jim Lottsfeldt, a lobbyist and … [+1718 chars]",2022-03-31,en,-0.1779,0.0,0.779,0.221,-1,-0.0516,0.083,0.805,0.112,-1,"['winning', 'formula', 'race', 'Ms.', 'Murkowskis', 'ally', 'argue', 'likeliest', 'path', 're-election', 'shore', 'Jim', 'Lottsfeldt', 'lobbyist', '…', '+1718', 'char']"
How the 2022 Primaries Are Testing Trump’s Role as the G.O.P. ‘Kingpin’,Two of Donald Trump’s most prominent Senate endorsements have already backfired. Now the month of May looms large to measure his pull on the party.,"Georgia, where Mr. Trump is headed this weekend, represents one of his riskiest bets. He has been fixated on unseating the Republican governor, Brian Kemp. But Mr. Trumps handpicked challenger has be… [+1242 chars]",2022-03-25,en,0.0,0.0,1.0,0.0,0,0.0,0.049,0.901,0.049,0,"['Georgia', 'Mr.', 'Trump', 'headed', 'weekend', 'represents', 'riskiest', 'bet', 'fixated', 'unseating', 'Republican', 'governor', 'Brian', 'Kemp', 'Mr.', 'Trumps', 'handpicked', 'challenger', 'be…', '+1242', 'char']"
